team_key,team_name,short_name,home_city,home_ground,founded_year,first_season,last_season,logo_url
1,Chennai Super Kings,CSK,Chennai,"M.A. Chidambaram Stadium, Chennai",2008,2008,2026,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png
2,Deccan Chargers,DCG,Hyderabad,"Rajiv Gandhi International Cricket Stadium, Hyderabad",2008,2008,2012,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png?v=2
3,Delhi Capitals,DC,New Delhi,"Arun Jaitley Stadium, New Delhi",2008,2019,2026,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
4,Delhi Daredevils,DD,New Delhi,"Arun Jaitley Stadium, New Delhi",2008,2008,2018,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
5,Gujarat Lions,GL,Rajkot,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",2016,2016,2017,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png?v=2
6,Gujarat Titans,GT,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2022,2022,2026,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png
7,Kings XI Punjab,KXIP,Mohali,"Punjab Cricket Association (IS Bindra) Stadium, Mohali",2008,2008,2021,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
8,Kochi Tuskers Kerala,KTK,Kochi,"Jawaharlal Nehru International Stadium, Kaloor, Kochi",2011,2011,2011,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/KTK.png?v=2
9,Kolkata Knight Riders,KKR,Kolkata,"Eden Gardens, Kolkata",2008,2008,2026,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png
10,Lucknow Super Giants,LSG,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022,2022,2026,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png
11,Mumbai Indians,MI,Mumbai,"Wankhede Stadium, Mumbai",2008,2008,2026,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/Mloutline.png
12,Pune Warriors,PWI,Pune,"Maharashtra Cricket Association Stadium, Gahunje, Pune",2011,2011,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/PWI.png?v=2
13,Punjab Kings,PBKS,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh (Mullanpur)",2008,2021,2026,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
14,Rajasthan Royals,RR,Jaipur,"Sawai Mansingh Stadium, Jaipur",2008,2008,2026,https://1000logos.net/wp-content/uploads/2024/03/Rajasthan-Royals-Logo-768x432.png
15,Rising Pune Supergiant,RPS,Pune,"Maharashtra Cricket Association Stadium, Gahunje, Pune",2016,2016,2017,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png?v=2
16,Royal Challengers Bengaluru,RCB,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",2008,2008,2026,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png
17,Sunrisers Hyderabad,SRH,Hyderabad,"Rajiv Gandhi International Cricket Stadium, Hyderabad",2013,2013,2026,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png
